"week_ID","zone","week_start_date","moon_phase","sampling_flag_plankton","sampling_flag_eDNA","sampling_flag_eDNA2","sampling_flag_sediment","sampling_flag_sediment2","sampling","n_replicas","sampling_calendar"
29,"Z3",2025-07-16,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
30,"Z3",2025-07-23,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
31,"Z3",2025-07-30,"Waxing",TRUE,TRUE,FALSE,FALSE,FALSE,"eDNA",3,"eDNA"
32,"Z3",2025-08-06,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
33,"Z3",2025-08-13,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
34,"Z3",2025-08-20,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
35,"Z3",2025-08-27,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
36,"Z3",2025-09-03,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
37,"Z3",2025-09-10,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
38,"Z3",2025-09-17,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
39,"Z3",2025-09-24,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
40,"Z3",2025-10-01,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
41,"Z3",2025-10-08,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
42,"Z3",2025-10-15,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
43,"Z3",2025-10-22,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
